Airport,Destination,Shared,Private<3,Private>3
DBV,Dubrovnik,4.83 ,34.02 ,50.65 
DBV,Cavtat,4.83 ,33.26 ,49.90 
DBV,Lopud ,10.92 ,52.92 ,90.72 
DBV,Korcula,18.90 ,143.64 ,196.56 
DBV,Orašac,6.94 ,38.18 ,54.84 
DBV,Orebić,14.57 ,97.19 ,124.95 
DBV,Slano,8.67 ,59.01 ,68.72 
DBV,Babin kuk,4.83 ,34.02 ,50.65 
DBV,Plat,4.83 ,34.02 ,50.65 
DBV,Mlini,4.83 ,34.02 ,50.65 
DBV,Srebreno,4.83 ,34.02 ,50.65 
DBV,Lapad,4.83 ,34.02 ,50.65 
DBV,Dubrovnik old town,4.83 ,34.02 ,50.65 
SPU,Split ,5.04 ,32.51 ,50.65 
SPU,Sibenik,11.34 ,98.28 ,117.18 
SPU,Brela,10.08 ,86.94 ,102.06 
SPU,Barska voda,8.67 ,79.83 ,93.72 
SPU,Makarska,8.67 ,79.83 ,93.72 
SPU,Supetar (Brac),16.38 ,151.20 ,170.10 
SPU,Bol (Brac),16.38 ,151.20 ,170.10 
SPU,Milna (Brac) ,16.38 ,151.20 ,170.10 
SPU,Sumartin (Brac),16.38 ,151.20 ,170.10 
SPU,Postire (Brac),16.38 ,151.20 ,170.10 
SPU,Ciovo,3.82 ,30.54 ,45.82 
SPU,Omis,6.59 ,48.59 ,54.84 
SPU,Podgora,9.72 ,79.83 ,93.72 
SPU,Podstrana,6.59 ,48.59 ,54.84 
SPU,Seget Vranjica,5.04 ,32.51 ,50.65 
SPU,Seget Donji,5.04 ,32.51 ,50.65 
SPU,Solin,5.04 ,32.51 ,50.65 
SPU,Trogir,3.82 ,30.54 ,45.82 
SPU,Tucepi,9.38 ,93.72 ,111.08 
SPU,Vodice,9.72 ,97.19 ,114.54 
SPU,Primosten,9.03 ,62.48 ,76.37 
SPU,Biograd,13.19 ,145.78 ,173.55 
SPU,Stari Grad (Hvar),26.25 ,105.00 ,136.50 
SPU,Vrboska (Hvar),28.88 ,115.50 ,152.25 
SPU,Jelsa (Hvar),29.93 ,115.50 ,152.25 
SPU,Hvar,35.70 ,126.00 ,162.75 
PUY,Pula,5.46 ,29.48 ,33.26 
PUY,Rabac,11.34 ,56.70 ,62.75 
PUY,Porec,11.34 ,66.53 ,79.38 
PUY,Novigrad,11.34 ,79.38 ,99.04 
PUY,Buje,9.38 ,93.72 ,100.66 
PUY,Medulin,5.46 ,29.48 ,33.26 
PUY,Rovinj,9.38 ,52.07 ,55.53 
PUY,Umag,9.38 ,93.72 ,100.66 
PUY,Vrsar,9.38 ,93.72 ,100.66 
PUY,Fazana,5.46 ,29.48 ,33.26 
PUY,Labin,5.46 ,29.48 ,33.26 
ZAD,Starigrad/ Paklenica,18.74 ,81.81 ,93.49 
ZAD,Zaton,12.68 ,44.40 ,52.59 
ZAD,Petrcane,11.58 ,44.40 ,52.59 
ZAD,Biograd,17.64 ,73.50 ,94.50 
ZAD,Borik,9.92 ,38.57 ,46.75 
ZAD,Vodice,20.67 ,93.49 ,105.18 
ZAD,Tisno,19.02 ,93.49 ,105.18 
ZAD,Šibenik,23.15 ,107.10 ,120.75 
ZAD,Zadar,9.92 ,44.40 ,52.59 
ZAD,Pag Island,25.36 ,140.24 ,152.25 
ZAD,Novalja,28.67 ,128.55 ,141.75 
ZAD,RAB island,,210.00 ,262.50 
ZAD,"Privlaka, Nin",14.89 ,88.20 ,110.25 
ZAD,Sv. Filip Jakov,15.44 ,52.59 ,64.28 
ZAD,Pakoštane,19.85 ,84.00 ,105.00 
ZAD,Primosten,24.81 ,140.24 ,151.92 
RJK,Opatija,19.00 ,70.00 ,90.00 
RJK,Lovran,21.00 ,75.00 ,95.00 
RJK,Krk,16.50 ,65.00 ,75.00 
RJK,Malinska,16.50 ,50.00 ,70.00 
RJK,Baška,19.00 ,70.00 ,95.00 
RJK,Vrbnik,16.50 ,65.00 ,75.00 
RJK,Njivice,16.50 ,40.00 ,60.00 
TIV,Kotor,4.00 ,21.00 ,36.00 
TIV,Perast,6.00 ,31.00 ,46.00 
TIV,Herceg Novi ,8.00 ,46.00 ,80.00 
TIV,Budva,5.00 ,26.00 ,46.00 
TIV,Becici,5.00 ,26.00 ,46.00 
TIV,Petrovac,6.00 ,36.00 ,61.00 
TIV,Dubrovnik airport,,110.00 ,150.00 
TIV,Dubrovnik City,,120.00 ,180.00 
TIV,Tivat,4.00 ,21.00 ,36.00 
TIV,Porto Montenegro,4.00 ,21.00 ,36.00 
TIV,Radovici,4.00 ,21.00 ,36.00 
TIV,Ulcinj,10.50 ,68.00 ,115.00 
TIV,Igalo,10.00 ,48.00 ,82.00 
